lm_code,flavor_number,name,category,category_name,cap_color,cubes_per_tube
LM098-PC,098,Maple Nutmeg,PC,Premium Cocktail,Green,6
LM098-GC,098,Maple Nutmeg,GC,Gourmet Cafe,Rust,6
LM098-AW,098,Maple Nutmeg,AW,Artisnal Wine,Cream,6
LM099-PC,099,Spiced Mexican Chocolate,PC,Premium Cocktail,Green,6
LM099-GC,099,Spiced Mexican Chocolate,GC,Gourmet Cafe,Rust,6
LM100-PC,100,Dark Chocolate,PC,Premium Cocktail,Green,6
LM100-GR,100,Dark Chocolate Sugar Rimmer,GR,Gourmet Rimmer,,0
LM101-GC,101,White Chocolate Pistachio,GC,Gourmet Cafe,Rust,6
LM102-PC,102,Toasted Marshmallow,PC,Premium Cocktail,Green,6
LM102-GC,102,Toasted Marshmallow,GC,Gourmet Cafe,Rust,6
LM103-GC,102,Marshmallow,GC,Gourmet Cafe,Rust,6
LM104-PM,104,Pomegranate,PM,Premium Mimosa,Cream,6
LM104-PC,104,Shimmer Pomegranate,PC,Premium Cocktail,Green,6
LM105-PC,105,Spiced Chai,PC,Premium Cocktail,Green,6
LM106-GC,106,Vanilla Chai,GC,Gourmet Cafe,Rust,6
LM107-PC,107,Cheese Cake,PC,Premium Cocktail,Green,6
LM110-PM,110,Cherry Pie,PM,Premium Mimosa,Cream,6
LM111-GC,111,Coconut Cream,GC,Gourmet Cafe,Rust,6
LM112-AW,112,Ginger & Lime,AW,Artisnal Wine,Cream,6
LM113-GR,113,Graham Cracker Sugar Rimmer,GR,Gourmet Rimmer,,0
LM114-GR,114,Pie Crust Sugar Rimmer,GR,Gourmet Rimmer,,0
LM116-GC,116,Horchata,GC,Gourmet Cafe,Rust,6
LM117-PC,117,Pecan,PC,Premium Cocktail,Green,6
LM117-GC,117,Pecan,GC,Gourmet Cafe,Rust,6
LM118-BL,118,Fig Bellini,BL,Bellini,Cream,6
LM119-PC,119,Kentucky Mule,PC,Premium Cocktail,Green,6
LM120-CB,120,Blue Raspberry,CB,Craft Beverage,Rust,6
LM121-CB,121,Watermelon,CB,Craft Beverage,Rust,6
LM123-CB,123,Prickly Pear & Lime,CB,Craft Beverage,Rust,6
LM085-PC,124,Bewitched Blueberry,PC,Premium Cocktail,Green,6
LM124-SP,124,Blueberry,SP,Spritz,Cream,6
LM124-PC,124,Blueberry,PC,Premium Cocktail,Green,6
LM124-GC,124,Blueberry,GC,Gourmet Cafe,Rust,6
LM124-CB,124,Blueberry,CB,Craft Beverage,Rust,6
